meituan,ctrip,qunai,result
汉庭(南京应天大街店),汉庭酒店(南京应天大街店),汉庭酒店南京应天大街店,yes
百时快捷酒店(南京玄武湖山西路店),百时快捷酒店(南京玄武湖山西路店),百时快捷酒店南京玄武湖山西路店,yes
长运宾馆(苜蓿园大街店),南京长运宾馆,南京长运宾馆,yes
清沐连锁酒店(南京站小红山店),清沐连锁酒店(南京小红山店),清沐连锁酒店南京火车站北广场小红山店,yes
格林豪泰快捷酒店(南京中华门地铁站店),格林豪泰(南京中华门地铁站店),格林豪泰酒店南京中华门地铁站店,yes
乐居宾馆(宁海路店),乐居宾馆(南京宁海路店),南京乐居宾馆,yes
格林豪泰商务酒店(南京山西路布料城店),格林豪泰(南京山西路店),格林豪泰酒店南京山西路布料城店,yes
肯定之星假日宾馆(地铁四号线龙江站体育馆店)(原龙江4店),如家快捷酒店(南京新城市广场龙江地铁站店),如家快捷酒店南京新城市广场龙江地铁站店,yes
锦江之星(南京火车站中央门店),锦江之星(南京火车站中央门店),锦江之星酒店南京火车站中央门店,yes
如家酒店(南京虹桥中心三牌楼大街店),如家快捷酒店(南京虹桥中心三牌楼大街店),如家快捷酒店南京虹桥中心三牌楼大街店,yes
锦江之星(南京中山北路虹桥中心店),锦江之星(南京中山北路虹桥中心店),锦江之星酒店南京中山北路虹桥中心店,yes
格林豪泰酒店(南京火车站汽车总站店),格林豪泰(南京火车站汽车总站店),格林豪泰酒店南京火车站汽车总站店,yes
南京玄武湖假日酒店,南京玄武湖假日酒店,南京玄武湖假日酒店,yes
永春旅馆,南京永春旅馆,南京永春旅馆,yes
南京新街口书香世家酒店,书香世家酒店(南京新街口管家桥店),南京新街口书香世家酒店,yes
苹果酒店(湖南路丁家桥店),苹果酒店(南京丁家桥店),南京苹果酒店湖南路店,yes
锦江之星(南京长途汽车东站店),锦江之星(南京长途汽车东站店),锦江之星酒店南京长途汽车东站店,yes
张帅快捷宾馆(莫愁湖地铁站店),南京张帅快捷旅店,张帅快捷旅馆,yes
铂纳屋湖景公寓(会展中心玄武湖店),铂纳屋湖景公寓(南京玄武湖店),南京铂纳屋湖景公寓玄武湖店,yes
莱柠酒店公寓(南京河西万达店),莱柠酒店公寓(南京河西万达店),南京莱柠酒店公寓,yes
7天连锁酒店(南京三牌楼虹桥中心店),7天连锁酒店(南京三牌楼虹桥中心店),7天酒店南京三牌楼虹桥中心店,yes
198快捷宾馆,南京198快捷宾馆,南京198快捷宾馆,yes
全季酒店(南京虹桥中山北路店),全季酒店(南京虹桥中山北路店),全季酒店南京虹桥中山北路店,yes
如家商旅酒店(南京玄武湖新模范马路地铁站店),如家商旅酒店(南京玄武湖新模范马路地铁站店),如家商旅酒店南京玄武湖新模范马路地铁站店,yes
九九聚家商务宾馆,南京九九聚家商务宾馆,南京九九聚家商务宾馆,yes
陶李宾馆(莫愁湖地铁站店),南京陶李宾馆,南京陶李宾馆莫愁湖店,yes
蓝鲸太空舱,南京蓝鲸太空舱主题青旅,南京蓝鲸太空舱主题青旅,yes
橘子青年旅社,南京橘子青年旅社,南京橘子青年旅社,yes
如家NEO酒店(南京长途汽车东站林业大学新庄地铁站店),如家快捷酒店(南京长途汽车东站林业大学新庄地铁站店),如家酒店·NEO南京长途汽车东站林业大学新庄地铁站店,yes
清沐精选云酒店(南京林业大学蒋王庙店),清沐精选云酒店(南京林业大学蒋王庙店),清沐精选云酒店(南京林业大学花园路店),yes
清沐连锁酒店(万达广场东宝路店),清沐连锁酒店(南京万达广场东宝路店)(原君诺宾馆),清沐连锁酒店南京万达广场东宝路店,yes
汉庭优佳(南京玄武门店),汉庭酒店(南京玄武门店),汉庭酒店南京玄武门店,yes
布丁酒店(南京虎踞北路艺术学院店),布丁酒店(南京虎踞北路艺术学院店),布丁酒店南京虎踞北路艺术学院店,yes
明志发宾馆,南京明志发宾馆鼓楼地铁站店,南京明志发宾馆鼓楼地铁站店,yes
如家酒店(南京新城市广场龙江地铁站店),如家快捷酒店(南京新城市广场龙江地铁站店),如家快捷酒店南京新城市广场龙江地铁站店,yes
都市118连锁酒店(会展中心店),南京都市118连锁酒店玄武湖国展中心店,南京都市118连锁酒店玄武湖国展中心店,yes
锦江之星酒店(南京火车南站店),锦江之星(南京火车南站店),锦江之星酒店南京火车南站店,yes
肯定精品酒店(虹悦城店),肯定精品酒店(南京银桥市场店),南京肯定精品酒店虹悦城店,yes
维尼酒店公寓(河西万达店),维尼酒店公寓(南京河西万达店),南京维尼酒店公寓河西万达店,yes
肯定宾馆连锁(省妇幼保健院店)(原龙江3店),肯定宾馆连锁(南京龙江三店),南京肯定宾馆连锁龙江3店,yes
南京苏宁索菲特银河大酒店,南京索菲特银河大酒店,南京索菲特银河大酒店,yes
凯克酒店式公寓(河西万达店),凯克酒店公寓(南京万达广场店),南京凯克酒店公寓万达广场店,yes
feel酒店公寓(万达店),南京feel酒店公寓（河西万达店）,南京feel酒店公寓河西万达店,yes
郁香庭宾馆(三牌楼邮电大学店),郁香庭宾馆(南京三牌楼店),南京郁香庭宾馆三牌楼店,yes
维也纳酒店(南京奥体中心店),维也纳酒店(南京奥体中心店),维也纳酒店南京奥体中心店,yes
如家酒店(南京火车站小市地铁站店),如家快捷酒店(南京火车站小市地铁站店),如家快捷酒店南京火车站小市地铁站店,yes
